experiment_timestamp,game_id,opening_name,base_time_per_move,engine_ply_index,total_ply_from_start,side,strategy,dynamic_colour,fen_before_move,move_uci,move_san,score_white_perspective,initial_clock,clock_before,allocated_decision_time,policy_analysis_time,search_time,decision_time_charged,deadline_overrun,clock_after,completed_depth,attempted_depth,timed_out,nodes,cutoffs,iteration_nodes,volatility_score,volatility_class,time_multiplier,in_check,legal_move_count,capture_move_count,checking_move_count,absolute_evaluation_swing,diagnostic_volatility_time_not_charged
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,1,1,white,dynamic,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,Nf3,61,4.0,4.0,0.03,0.0005717000021832064,0.03088279999792576,0.03145789999689441,0.0014578999968944129,3.9685421000031056,1,2,True,93,13,20,0.0,quiet,0.6,False,20,0,0,0,0.0
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,2,2,black,fixed,white,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g8f6,Nf6,61,4.0,4.0,0.05,0.0,0.050021899995044805,0.05002439999952912,2.439999952912053e-05,3.949975600000471,2,3,True,183,19,20|118,0.061,quiet,1.0,False,20,0,0,61,0.0009163999930024147
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,3,3,white,dynamic,white,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,b1c3,Nc3,61,4.0,3.9685421000031056,0.03,0.0009354999929200858,0.029250100007629953,0.030190200006472878,0.00019020000647287927,3.9383518999966327,1,2,True,97,4,22,0.061,quiet,0.6,False,22,0,0,61,0.0
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,4,4,black,fixed,white,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,b8c6,Nc6,52,4.0,3.949975600000471,0.05,0.0,0.050010700011625886,0.05001250001078006,1.2500010780056026e-05,3.899963099989691,2,3,True,178,26,22|98,0.061,quiet,1.0,False,22,0,0,61,0.0007125999982235953
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,5,5,white,dynamic,white,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3,d2d4,d4,52,4.0,3.9383518999966327,0.03,0.0009040000004461035,0.029214399997727014,0.030121200004941784,0.00012120000494178496,3.908230699991691,1,2,True,103,9,24,0.061,quiet,0.6,False,24,0,0,61,0.0
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,6,6,black,fixed,white,r1bqkb1r/pppppppp/2n2n2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 3,c6d4,Nxd4,-110,4.0,3.899963099989691,0.05,0.0,0.050263199998880737,0.050264199991943315,0.0002641999919433119,3.8496988999977475,1,2,True,156,9,24,0.13533333333333333,quiet,1.0,False,24,1,0,52,0.0009046999912243336
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,7,7,white,dynamic,white,r1bqkb1r/pppppppp/5n2/8/3n4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,d1d4,Qxd4,284,4.0,3.908230699991691,0.05,0.0011537000100361183,0.04903070000000298,0.05018720000225585,0.00018720000225584676,3.858043499989435,2,3,True,159,30,32|104,0.32866666666666666,normal,1.0,False,32,2,0,162,0.0
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,8,8,black,fixed,white,r1bqkb1r/pppppppp/5n2/8/3Q4/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 4,d7d5,d5,284,4.0,3.8496988999977475,0.05,0.0,0.05011260000173934,0.050113899997086264,0.00011389999708626142,3.7995850000006612,1,2,True,165,1,21,0.2,normal,1.0,False,21,0,0,448,0.0007101999945007265
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,9,9,white,dynamic,white,r1bqkb1r/ppp1pppp/5n2/3p4/3Q4/2N2N2/PPP1PPPP/R1B1KB1R w KQkq - 0 5,d4f6,Qxf6,603,4.0,3.858043499989435,0.09000000000000001,0.0010888999968301505,0.0889203999977326,0.09001220000209287,1.2200002092857543e-05,3.768031299987342,1,2,True,230,28,47,0.40399999999999997,volatile,1.8,False,47,4,1,54,0.0
20260805_000246,t50ms_starting_position_dynamic_white,starting_position,0.05,10,10,black,fixed,white,r1bqkb1r/ppp1pppp/5Q2/3p4/8/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 5,g7f6,gxf6,-206,4.0,3.7995850000006612,0.05,0.0,0.0503205999993952,0.050321799993980676,0.00032179999398067316,3.7492632000066806,2,3,True,153,26,25|80,0.3666666666666667,volatile,1.0,False,25,2,0,319,0.001072700004442595
