experiment_timestamp,game_id,opening_name,base_time_per_move,engine_ply_index,total_ply_from_start,side,strategy,dynamic_colour,fen_before_move,move_uci,move_san,score_white_perspective,initial_clock,clock_before,allocated_decision_time,policy_analysis_time,search_time,decision_time_charged,deadline_overrun,clock_after,completed_depth,attempted_depth,timed_out,nodes,cutoffs,iteration_nodes,volatility_score,volatility_class,time_multiplier,in_check,legal_move_count,capture_move_count,checking_move_count,absolute_evaluation_swing,diagnostic_volatility_time_not_charged
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,1,1,white,dynamic,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,Nf3,0,1.0,1.0,0.03,0.0005149000062374398,0.029569899998023175,0.03008840000256896,8.84000025689613e-05,0.969911599997431,2,3,True,112,18,20|86,0.0,quiet,0.6,False,20,0,0,0,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,2,2,black,fixed,white,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g8f6,Nf6,61,1.0,1.0,0.05,0.0,0.05019560000800993,0.05019790001097135,0.00019790001097134968,0.9498020999890286,2,3,True,186,21,20|118,0.061,quiet,1.0,False,20,0,0,61,0.0006578000029549003
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,3,3,white,dynamic,white,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,b1c3,Nc3,61,1.0,0.969911599997431,0.03,0.0006846000032965094,0.029506799997761846,0.030194700011634268,0.00019470001163426898,0.9397168999857968,1,2,True,114,9,22,0.061,quiet,0.6,False,22,0,0,61,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,4,4,black,fixed,white,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,b8c6,Nc6,52,1.0,0.9498020999890286,0.05,0.0,0.05001730000367388,0.050018900001305155,1.890000130515268e-05,0.8997831999877235,2,3,True,177,26,22|98,0.061,quiet,1.0,False,22,0,0,61,0.000775500011513941
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,5,5,white,dynamic,white,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3,d2d4,d4,52,1.0,0.9397168999857968,0.03,0.0007613000052515417,0.030812500001047738,0.03157580000697635,0.0015758000069763523,0.9081410999788204,1,2,True,84,5,24,0.061,quiet,0.6,False,24,0,0,61,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,6,6,black,fixed,white,r1bqkb1r/pppppppp/2n2n2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 3,c6d4,Nxd4,-110,1.0,0.8997831999877235,0.05,0.0,0.05015490000369027,0.050156700002844445,0.00015670000284444263,0.849626499984879,1,2,True,168,11,24,0.13533333333333333,quiet,1.0,False,24,1,0,52,0.000784799995017238
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,7,7,white,dynamic,white,r1bqkb1r/pppppppp/5n2/8/3n4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,d1d4,Qxd4,284,1.0,0.9081410999788204,0.05,0.0008147000044118613,0.049312200004351325,0.05012899999564979,0.00012899999564978948,0.8580120999831706,2,3,True,181,30,32|104,0.32866666666666666,normal,1.0,False,32,2,0,162,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,8,8,black,fixed,white,r1bqkb1r/pppppppp/5n2/8/3Q4/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 4,d7d5,d5,284,1.0,0.849626499984879,0.05,0.0,0.05007589999877382,0.05007720000867266,7.72000086726593e-05,0.7995492999762064,1,2,True,171,1,21,0.2,normal,1.0,False,21,0,0,448,0.0007921000069472939
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,9,9,white,dynamic,white,r1bqkb1r/ppp1pppp/5n2/3p4/3Q4/2N2N2/PPP1PPPP/R1B1KB1R w KQkq - 0 5,d4f6,Qxf6,603,1.0,0.8580120999831706,0.09000000000000001,0.000893999997060746,0.08941660000709817,0.09031300000788178,0.0003130000078817724,0.7676990999752888,1,2,True,236,28,47,0.40399999999999997,volatile,1.8,False,47,4,1,54,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,10,10,black,fixed,white,r1bqkb1r/ppp1pppp/5Q2/3p4/8/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 5,g7f6,gxf6,-206,1.0,0.7995492999762064,0.05,0.0,0.050163500010967255,0.05016480000631418,0.00016480000631417802,0.7493844999698922,2,3,True,148,26,25|80,0.3666666666666667,volatile,1.0,False,25,2,0,319,0.0009368000028189272
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,11,11,white,dynamic,white,r1bqkb1r/ppp1pp1p/5p2/3p4/8/2N2N2/PPP1PPPP/R1B1KB1R w KQkq - 0 6,c3d5,Nxd5,-206,1.0,0.7676990999752888,0.05,0.000857699997141026,0.049229900003410876,0.05009000000427477,9.000000427476784e-05,0.7176090999710141,1,2,True,152,14,31,0.2833333333333333,normal,1.0,False,31,1,0,971,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,12,12,black,fixed,white,r1bqkb1r/ppp1pp1p/5p2/3N4/8/5N2/PPP1PPPP/R1B1KB1R b KQkq - 0 6,d8d5,Qxd5,-615,1.0,0.7493844999698922,0.05,0.0,0.05033410000032745,0.05033549999643583,0.00033549999643582573,0.6990489999734564,2,3,True,175,24,24|72,0.24533333333333335,normal,1.0,False,24,1,0,162,0.0007884000078774989
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,13,13,white,dynamic,white,r1b1kb1r/ppp1pp1p/5p2/3q4/8/5N2/PPP1PPPP/R1B1KB1R w KQkq - 0 7,e2e4,e4,-615,1.0,0.7176090999710141,0.05,0.0007382999901892617,0.04937940000672825,0.05011979999835603,0.00011979999835602662,0.667489299972658,1,2,True,157,10,25,0.2,normal,1.0,False,25,0,0,456,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,14,14,black,fixed,white,r1b1kb1r/ppp1pp1p/5p2/3q4/4P3/5N2/PPP2PPP/R1B1KB1R b KQkq - 0 7,d5e4,Qxe4+,-722,1.0,0.6990489999734564,0.05,0.0,0.05014229999505915,0.05014330000267364,0.00014330000267363807,0.6489056999707827,2,3,True,184,44,42|87,0.4136666666666667,volatile,1.0,False,42,2,4,47,0.0010443999926792458
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,15,15,white,dynamic,white,r1b1kb1r/ppp1pp1p/5p2/8/4q3/5N2/PPP2PPP/R1B1KB1R w KQkq - 0 8,e1d2,Kd2,-1091,1.0,0.667489299972658,0.09000000000000001,0.0009642000077292323,0.08926950000750367,0.09023659999365918,0.00023659999365917284,0.5772526999789989,2,3,True,317,81,4|48,0.5429999999999999,volatile,1.8,True,4,0,0,193,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,16,16,black,fixed,white,r1b1kb1r/ppp1pp1p/5p2/8/4q3/5N2/PPPK1PPP/R1B2B1R b kq - 1 8,f8h6,Bh6+,-772,1.0,0.6489056999707827,0.05,0.0,0.05001189999165945,0.05001310000079684,1.310000079683682e-05,0.5988925999699859,2,3,True,182,41,41|92,0.4086666666666667,volatile,1.0,False,41,2,10,42,0.0007833999989088625
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,17,17,white,dynamic,white,r1b1k2r/ppp1pp1p/5p1b/8/4q3/5N2/PPPK1PPP/R1B2B1R w kq - 2 9,d2c3,Kc3,-746,1.0,0.5772526999789989,0.09000000000000001,0.0005963999865343794,0.08953339999425225,0.09013199999753851,0.0001319999975385039,0.48712069998146035,3,4,True,290,54,3|52|149,0.414,volatile,1.8,True,3,0,0,64,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,18,18,black,fixed,white,r1b1k2r/ppp1pp1p/5p1b/8/4q3/2K2N2/PPP2PPP/R1B2B1R b kq - 3 9,e4f3,Qxf3+,-1125,1.0,0.5988925999699859,0.05,0.0,0.05001130000164267,0.05001259999698959,1.2599996989590134e-05,0.5488799999729963,1,2,True,169,39,47,0.508,volatile,1.0,False,47,3,11,58,0.0008668999944347888
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,19,19,white,dynamic,white,r1b1k2r/ppp1pp1p/5p1b/8/8/2K2q2/PPP2PPP/R1B2B1R w kq - 0 10,g2f3,gxf3,-86,1.0,0.48712069998146035,0.09000000000000001,0.00069039998925291,0.08957229999941774,0.09026469998934772,0.0002646999893477081,0.39685599999211263,3,4,True,320,66,6|39|116,0.6333333333333333,volatile,1.8,True,6,1,0,353,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,20,20,black,fixed,white,r1b1k2r/ppp1pp1p/5p1b/8/8/2K2P2/PPP2P1P/R1B2B1R b kq - 0 10,h6c1,Bxc1,-86,1.0,0.5488799999729963,0.05,0.0,0.05017670000961516,0.05017790000420064,0.00017790000420063456,0.49870209996879566,2,3,True,191,39,28|82,0.38333333333333336,volatile,1.0,False,28,1,1,1013,0.0008504999859724194
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,21,21,white,dynamic,white,r1b1k2r/ppp1pp1p/5p2/8/8/2K2P2/PPP2P1P/R1b2B1R w kq - 0 11,a1c1,Rxc1,-132,1.0,0.39685599999211263,0.09000000000000001,0.0011823999957414344,0.08882859999721404,0.09001369999896269,1.369999896268237e-05,0.30684229999314994,2,3,True,296,29,22|69,0.38333333333333336,volatile,1.8,False,22,1,1,330,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,22,22,black,fixed,white,r1b1k2r/ppp1pp1p/5p2/8/8/2K2P2/PPP2P1P/2R2B1R b kq - 0 11,c8d7,Bd7,-70,1.0,0.49870209996879566,0.05,0.0,0.05015280000225175,0.05015389999607578,0.00015389999607577642,0.4485481999727199,2,3,True,190,27,23|142,0.2,normal,1.0,False,23,0,0,356,0.0007283000013558194
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,23,23,white,dynamic,white,r3k2r/pppbpp1p/5p2/8/8/2K2P2/PPP2P1P/2R2B1R w kq - 1 12,f1b5,Bb5,-70,1.0,0.30684229999314994,0.03,0.0007381999894278124,0.029424199994537048,0.03016489998844918,0.00016489998844917975,0.27667740000470076,1,2,True,103,3,25,0.028000000000000004,quiet,0.6,False,25,0,0,28,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,24,24,black,fixed,white,r3k2r/pppbpp1p/5p2/1B6/8/2K2P2/PPP2P1P/2R4R b kq - 2 12,d7b5,Bxb5,-408,1.0,0.4485481999727199,0.05,0.0,0.05001079999783542,0.05001210000773426,1.2100007734258678e-05,0.3985360999649856,2,3,True,176,24,21|62,0.12733333333333333,quiet,1.0,False,21,1,0,44,0.0007935999892652035
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,25,25,white,dynamic,white,r3k2r/ppp1pp1p/5p2/1b6/8/2K2P2/PPP2P1P/2R4R w kq - 0 13,h1d1,Rhd1,-448,1.0,0.27667740000470076,0.05,0.0007312999950954691,0.04952840000623837,0.05026190000353381,0.0002619000035338076,0.22641550000116695,2,3,True,180,17,21|154,0.2,normal,1.0,False,21,0,0,372,0.0
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,26,26,black,fixed,white,r3k2r/ppp1pp1p/5p2/1b6/8/2K2P2/PPP2P1P/2RR4 b kq - 1 13,a8d8,Rd8,-448,1.0,0.3985360999649856,0.05,0.0,0.0502520000009099,0.05025339999701828,0.00025339999701827487,0.34828269996796735,1,2,True,177,18,25,0.034,quiet,1.0,False,25,0,0,34,0.0007919999916339293
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,0.05,27,27,white,dynamic,white,3rk2r/ppp1pp1p/5p2/1b6/8/2K2P2/PPP2P1P/2RR4 w k - 2 14,d1d8,Rxd8+,-442,1.0,0.22641550000116695,0.046415500001166954,0.0007841999904485419,0.04571250001026783,0.046498700001393445,8.320000022649099e-05,0.1799167999997735,2,3,True,155,24,22|44,0.22333333333333336,normal,1.0,False,22,1,1,40,0.0
