experiment_timestamp,game_id,opening_name,base_time_per_move,engine_ply_index,total_ply_from_start,side,strategy,v2_colour,fen_before_move,move_uci,move_san,score_white_perspective,initial_clock,clock_before,remaining_move_capacity,stable_time_target,uncertain_time_target,unstable_time_target,final_policy_target,committed_time_limit,hard_time_cap,decision_time_charged,deadline_overrun,clock_after,completed_depth,attempted_depth,timed_out,stop_reason,policy_stopped_at_iteration_boundary,nodes,cutoffs,incomplete_iteration_nodes,incomplete_node_fraction,iteration_nodes,iteration_times,iteration_best_moves,iteration_scores,iteration_root_gaps,stability_class,time_multiplier,best_move_changed,absolute_score_change,observed_root_score_gap,instability_signal_count,stability_reason,predicted_next_iteration_time,prediction_time_growth,prediction_node_growth,prediction_clamped_growth
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,1,1,white,search_aware,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,Nf3,0,2.0,2.0,20,0.08000000000000002,0.1,0.2,0.08000000000000002,0.1,0.2,0.019026499998290092,0.0,1.98097350000171,2,2,False,predicted_next_iteration_exceeds_target,True,106,18,0,0.0,20|86,0.003914500|0.015036400,g1f3|g1f3,61|0,0|0,stable,0.8,False,61,0,1,narrow_root_gap,0.06722093818580141,3.8412057689063226,4.3,4.0641339552599876
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,2,2,black,fixed,white,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g8f6,Nf6,61,2.0,2.0,20,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10004350000235718,4.3500002357171885e-05,1.8999564999976428,2,3,True,deadline_timeout,False,516,62,378,0.7325581395348837,20|118,0.003827100|0.022266400,g8f6|g8f6,0|61,0|0,stable,1.0,False,61,0,1,narrow_root_gap,0.14350227803316098,5.8180867898869,5.9,5.858900243248105
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,3,3,white,search_aware,white,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,b1c3,Nc3,0,2.0,1.98097350000171,19,0.08000000000000002,0.1,0.2,0.08000000000000002,0.1,0.2,0.027890800003660843,0.0,1.953082699998049,2,2,False,predicted_next_iteration_exceeds_target,True,141,19,0,0.0,22|119,0.004413600|0.023424500,b1c3|b1c3,61|0,7|0,stable,0.8,False,61,0,1,narrow_root_gap,0.1380587175295425,5.307345487400503,5.409090909090909,5.357976691560231
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,4,4,black,fixed,white,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,b8c6,Nc6,52,2.0,1.8999564999976428,19,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10003319999668747,3.3199996687466315e-05,1.7999233000009554,2,3,True,deadline_timeout,False,487,52,367,0.7535934291581109,22|98,0.004573200|0.019001500,b8c6|b8c6,0|52,7|1,stable,1.0,False,52,1,1,narrow_root_gap,0.08992203248785212,4.154968077539421,4.454545454545454,4.302149946664422
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,5,5,white,search_aware,white,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3,e2e3,e3,-24,2.0,1.953082699998049,18,0.08000000000000002,0.1,0.2,0.2,0.1,0.2,0.07031850000203121,0.0,1.8827641999960179,2,2,False,predicted_next_iteration_exceeds_target,True,335,20,0,0.0,24|311,0.005669300|0.064599000,d2d4|e2e3,52|-24,7|0,unstable,2.0,True,76,0,3,best_move_changed+large_score_change+narrow_root_gap,0.5684712000424043,11.394528410064977,12.958333333333334,8.0
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,6,6,black,fixed,white,r1bqkb1r/pppppppp/2n2n2/8/8/2N1PN2/PPPP1PPP/R1BQKB1R b KQkq - 0 3,e7e6,e6,44,2.0,1.7999233000009554,18,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10009189999254886,9.189999254885506e-05,1.6998314000084065,2,3,True,deadline_timeout,False,424,35,189,0.44575471698113206,24|211,0.006020200|0.047090400,d7d5|e7e6,-24|44,7|2,uncertain,1.0,True,68,2,2,best_move_changed+narrow_root_gap,0.414395519963,7.82206570849372,8.791666666666666,8.0
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,7,7,white,search_aware,white,r1bqkb1r/pppp1ppp/2n1pn2/8/8/2N1PN2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,f1d3,Bd3,-2,2.0,1.8827641999960179,17,0.08000000000000002,0.1,0.2,0.1,0.1,0.2,0.056982399997650646,0.0,1.8257817999983672,2,2,False,predicted_next_iteration_exceeds_target,True,227,27,0,0.0,31|196,0.007730000|0.049179000,f1c4|f1d3,44|-2,0|2,uncertain,1.0,True,46,2,2,best_move_changed+narrow_root_gap,0.34309916992664996,6.362095732193405,6.32258064516129,6.3423074144217635
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,8,8,black,fixed,white,r1bqkb1r/pppp1ppp/2n1pn2/8/8/2NBPN2/PPPP1PPP/R1BQK2R b KQkq - 1 4,h7h5,h5,61,2.0,1.6998314000084065,17,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10009799999534152,9.799999534151893e-05,1.599733400013065,2,3,True,deadline_timeout,False,392,35,89,0.22704081632653061,31|272,0.008922700|0.067960400,f8c5|h7h5,-2|61,0|4,uncertain,1.0,True,63,4,2,best_move_changed+narrow_root_gap,0.5980515200295486,7.616573459980949,8.774193548387096,8.0
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,9,9,white,search_aware,white,r1bqkb1r/pppp1pp1/2n1pn2/7p/8/2NBPN2/PPPP1PPP/R1BQK2R w KQkq - 0 5,h2h4,h4,-2,2.0,1.8257817999983672,16,0.08000000000000002,0.1,0.2,0.1,0.1,0.2,0.06638210000528488,0.0,1.7593996999930823,2,2,False,predicted_next_iteration_exceeds_target,True,258,33,0,0.0,36|222,0.009425700|0.056894300,f3e5|h2h4,61|-2,2|0,uncertain,1.0,True,63,0,2,best_move_changed+narrow_root_gap,0.38182490577477685,6.036082200725707,6.166666666666667,6.101025069975963
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,10,10,black,fixed,white,r1bqkb1r/pppp1pp1/2n1pn2/7p/7P/2NBPN2/PPPP1PP1/R1BQK2R b KQkq - 0 5,f8c5,Bc5,27,2.0,1.599733400013065,16,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10002860000531655,2.86000053165425e-05,1.4997048000077484,2,3,True,deadline_timeout,False,408,55,139,0.34068627450980393,31|238,0.008665000|0.058366200,f8c5|f8c5,-2|27,0|7,stable,1.0,False,29,7,1,narrow_root_gap,0.4616981790341181,6.735856894507495,7.67741935483871,7.1912445441186055
