experiment_timestamp,game_id,opening_name,base_time_per_move,engine_ply_index,total_ply_from_start,side,strategy,dynamic_colour,fen_before_move,move_uci,move_san,score_white_perspective,initial_clock,clock_before,allocated_decision_time,policy_analysis_time,search_time,decision_time_charged,deadline_overrun,clock_after,completed_depth,attempted_depth,timed_out,nodes,cutoffs,iteration_nodes,volatility_score,volatility_class,time_multiplier,in_check,legal_move_count,capture_move_count,checking_move_count,absolute_evaluation_swing,diagnostic_volatility_time_not_charged
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,1,1,white,dynamic,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,Nf3,61,0.2,0.2,0.012,0.00047119999362621456,0.011539599989191629,0.012013799991109408,1.3799991109408188e-05,0.1879862000088906,1,2,True,48,0,20,0.0,quiet,0.6,False,20,0,0,0,0.0
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,2,2,black,fixed,white,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g8f6,Nf6,0,0.2,0.2,0.02,0.0,0.02012299999478273,0.020124599992414005,0.00012459999241400468,0.179875400007586,1,2,True,85,4,20,0.061,quiet,1.0,False,20,0,0,61,0.0005772000004071742
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,3,3,white,dynamic,white,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,b1c3,Nc3,61,0.2,0.1879862000088906,0.012,0.0005923000135226175,0.011676699999952689,0.012271899991901591,0.00027189999190159117,0.175714300016989,1,2,True,43,0,22,0.061,quiet,0.6,False,22,0,0,61,0.0
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,4,4,black,fixed,white,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,b8c6,Nc6,0,0.2,0.179875400007586,0.02,0.0,0.020071699997060932,0.020073099993169308,7.309999316930729e-05,0.1598023000144167,1,2,True,74,0,22,0.061,quiet,1.0,False,22,0,0,61,0.0006406000029528514
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,5,5,white,dynamic,white,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3,d2d4,d4,52,0.2,0.175714300016989,0.012,0.000665100000333041,0.01136969999060966,0.012075299993739463,7.529999373946314e-05,0.16363900002324955,1,2,True,42,0,24,0.061,quiet,0.6,False,24,0,0,61,0.0
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,6,6,black,fixed,white,r1bqkb1r/pppppppp/2n2n2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 3,c6d4,Nxd4,-110,0.2,0.1598023000144167,0.02,0.0,0.020058699999935925,0.020059899994521402,5.9899994521401406e-05,0.1397424000198953,1,2,True,72,0,24,0.13533333333333333,quiet,1.0,False,24,1,0,52,0.0008333000005222857
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,7,7,white,dynamic,white,r1bqkb1r/pppppppp/5n2/8/3n4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,d1d4,Qxd4,338,0.2,0.16363900002324955,0.02,0.000869700001203455,0.019184899996616878,0.020057499990798533,5.7499990798532546e-05,0.14358150003245101,1,2,True,61,0,32,0.32866666666666666,normal,1.0,False,32,2,0,162,0.0
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,8,8,black,fixed,white,r1bqkb1r/pppppppp/5n2/8/3Q4/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 4,d7d5,d5,284,0.2,0.1397424000198953,0.02,0.0,0.02007370001228992,0.020075100008398294,7.510000839829403e-05,0.119667300011497,1,2,True,60,0,21,0.2,normal,1.0,False,21,0,0,448,0.0009300000092480332
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,9,9,white,dynamic,white,r1bqkb1r/ppp1pppp/5n2/3p4/3Q4/2N2N2/PPP1PPPP/R1B1KB1R w KQkq - 0 5,d4f6,Qxf6,603,0.2,0.14358150003245101,0.036000000000000004,0.0010506999969948083,0.03530469999532215,0.03635819999908563,0.0003581999990856233,0.10722330003336539,1,2,True,105,8,47,0.40399999999999997,volatile,1.8,False,47,4,1,54,0.0
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,10,10,black,fixed,white,r1bqkb1r/ppp1pppp/5Q2/3p4/8/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 5,e7f6,exf6,-370,0.2,0.119667300011497,0.02,0.0,0.020011599990539253,0.020012999986647628,1.2999986647627831e-05,0.09965430002484937,1,2,True,58,0,25,0.3666666666666667,volatile,1.0,False,25,2,0,319,0.0010167000000365078
